,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
0,118,4,4.5,4.5,9.65,1,0.92
1,107,4,4.0,4.5,8.87,1,0.76
2,104,3,3.0,3.5,8.0,1,0.72
3,110,3,3.5,2.5,8.67,1,0.8
4,103,2,2.0,3.0,8.21,0,0.65
5,115,5,4.5,3.0,9.34,1,0.9
6,109,3,3.0,4.0,8.2,1,0.75
7,101,2,3.0,4.0,7.9,0,0.68
8,102,1,2.0,1.5,8.0,0,0.5
9,108,3,3.5,3.0,8.6,0,0.45
10,106,3,3.5,4.0,8.4,1,0.52
11,111,4,4.0,4.5,9.0,1,0.84
12,112,4,4.0,4.5,9.1,1,0.78
13,109,3,4.0,3.0,8.0,1,0.62
14,104,3,3.5,2.0,8.2,1,0.61
15,105,3,3.5,2.5,8.3,0,0.54
16,107,3,4.0,3.0,8.7,0,0.66
17,106,3,4.0,3.0,8.0,1,0.65
18,110,3,4.0,3.0,8.8,0,0.63
19,102,3,3.5,3.0,8.5,0,0.62
20,107,3,3.0,2.0,7.9,1,0.64
21,114,4,3.0,2.0,8.4,0,0.7
22,116,5,5.0,5.0,9.5,1,0.94
23,119,5,5.0,4.5,9.7,1,0.95
24,119,5,4.0,3.5,9.8,1,0.97
25,120,5,4.5,4.5,9.6,1,0.94
26,109,5,4.5,3.5,8.8,0,0.76
27,98,2,1.5,2.5,7.5,1,0.44
28,93,1,2.0,2.0,7.2,0,0.46
29,99,2,1.5,2.0,7.3,0,0.54
30,97,2,3.0,3.0,8.1,1,0.65
31,103,3,4.0,4.0,8.3,1,0.74
32,118,4,3.0,4.5,9.4,1,0.91
33,114,5,4.0,4.0,9.6,1,0.9
34,112,5,4.0,5.0,9.8,1,0.94
35,110,5,5.0,5.0,9.2,1,0.88
36,106,2,4.0,4.0,8.4,0,0.64
37,105,1,1.0,2.0,7.8,0,0.58
38,105,1,3.0,1.5,7.5,0,0.52
39,108,2,4.0,3.5,7.7,0,0.48
40,110,3,3.5,3.0,8.0,1,0.46
41,105,2,2.5,2.5,8.2,1,0.49
42,107,2,2.5,2.0,8.5,1,0.53
43,117,4,4.5,4.0,9.1,0,0.87
44,113,5,4.5,4.0,9.4,1,0.91
45,110,5,5.0,4.0,9.1,1,0.88
46,114,5,4.0,5.0,9.3,1,0.86
47,119,5,4.5,4.0,9.7,0,0.89
48,110,3,3.5,5.0,8.85,1,0.82
49,111,4,3.0,4.0,8.4,1,0.78
50,98,3,2.5,4.5,8.3,1,0.76
51,100,2,1.5,3.5,7.9,1,0.56
52,116,4,4.0,3.0,8.0,1,0.78
53,112,4,4.0,2.5,8.1,1,0.72
54,110,3,3.0,3.5,8.0,0,0.7
55,103,3,3.0,3.0,7.7,0,0.64
56,102,3,2.0,3.0,7.4,0,0.64
57,99,2,4.0,2.0,7.6,0,0.46
58,99,1,3.0,2.0,6.8,1,0.36
59,104,2,2.0,2.0,8.3,0,0.42
60,100,2,3.0,3.0,8.1,0,0.48
61,101,3,4.0,3.0,8.2,0,0.47
62,105,2,3.0,3.0,8.2,1,0.54
63,107,2,4.0,3.0,8.5,1,0.56
64,111,3,3.0,3.5,8.7,0,0.52
65,112,4,3.5,3.5,8.92,0,0.55
66,114,3,3.0,3.0,9.02,0,0.61
67,107,2,3.5,3.5,8.64,1,0.57
68,109,3,3.5,4.0,9.22,1,0.68
69,115,4,4.5,4.0,9.16,1,0.78
70,118,5,5.0,5.0,9.64,1,0.94
71,112,5,5.0,5.0,9.76,1,0.96
72,111,5,5.0,5.0,9.45,1,0.93
73,108,4,4.5,4.0,9.04,1,0.84
74,106,3,3.0,5.0,8.9,0,0.74
75,114,2,2.0,4.0,8.56,1,0.72
76,112,3,3.0,3.0,8.72,1,0.74
77,99,2,3.0,2.0,8.22,0,0.64
78,95,2,3.0,2.0,7.54,1,0.44
79,93,1,1.5,2.0,7.36,0,0.46
80,105,3,2.0,3.0,8.02,1,0.5
81,120,4,5.0,5.0,9.5,1,0.96
82,110,5,5.0,4.5,9.22,1,0.92
83,115,5,4.0,4.5,9.36,1,0.92
84,115,5,4.5,4.5,9.45,1,0.94
85,103,4,4.5,3.5,8.66,0,0.76
86,106,3,4.5,3.5,8.42,0,0.72
87,107,2,3.5,3.0,8.28,0,0.66
88,108,3,4.5,3.5,8.14,0,0.64
89,109,4,4.5,3.5,8.76,1,0.74
90,106,2,4.0,4.0,7.92,1,0.64
91,97,3,5.0,3.5,7.66,0,0.38
92,98,2,4.0,3.0,8.03,0,0.34
93,97,2,3.0,3.0,7.88,1,0.44
94,99,3,2.0,2.5,7.66,0,0.36
95,100,4,1.5,2.5,7.84,0,0.42
96,100,2,3.0,3.0,8.0,0,0.48
97,120,3,4.0,4.0,8.96,1,0.86
98,119,4,5.0,4.5,9.24,1,0.9
99,113,3,4.0,4.0,8.88,1,0.79
100,107,3,3.5,3.5,8.46,1,0.71
101,105,2,2.5,3.0,8.12,0,0.64
102,106,2,4.0,3.5,8.25,0,0.62
103,104,2,4.5,4.0,8.47,0,0.57
104,112,3,3.5,3.0,9.05,1,0.74
105,110,3,4.0,4.5,8.78,1,0.69
106,111,4,4.5,4.5,9.18,1,0.87
107,117,4,3.5,4.5,9.46,1,0.91
108,116,5,5.0,5.0,9.38,1,0.93
109,103,5,5.0,4.0,8.64,0,0.68
110,108,5,3.0,3.0,8.48,0,0.61
111,109,4,4.0,4.0,8.68,1,0.69
112,107,3,3.5,3.5,8.34,1,0.62
113,110,2,4.0,3.5,8.56,0,0.72
114,105,3,3.5,3.0,8.45,1,0.59
115,106,4,4.5,4.5,9.04,1,0.66
116,102,3,4.0,3.5,8.62,0,0.56
117,104,4,2.0,2.5,7.46,0,0.45
118,99,2,3.0,3.5,7.28,0,0.47
119,104,5,3.0,3.5,8.84,1,0.71
120,117,5,5.0,5.0,9.56,1,0.94
121,119,5,4.5,4.5,9.48,1,0.94
122,106,4,1.5,2.5,8.36,0,0.57
123,108,3,3.5,3.5,8.22,0,0.61
124,106,4,2.5,3.0,8.47,0,0.57
125,100,3,2.0,3.0,8.66,1,0.64
126,113,3,4.0,3.0,9.32,1,0.85
127,112,3,2.5,2.0,8.71,1,0.78
128,112,3,3.5,3.0,9.1,1,0.84
129,118,5,5.0,5.0,9.35,1,0.92
130,114,5,4.0,4.5,9.76,1,0.96
131,105,5,5.0,4.5,8.65,0,0.77
132,105,5,3.5,3.5,8.56,0,0.71
133,112,5,4.0,4.5,8.78,0,0.79
134,113,5,4.0,4.0,9.28,1,0.89
135,109,4,3.5,4.0,8.77,1,0.82
136,103,3,5.0,4.0,8.45,0,0.76
137,100,2,1.5,3.0,8.16,1,0.71
138,116,2,4.5,3.0,9.08,1,0.8
139,109,1,3.5,3.5,9.12,0,0.78
140,110,2,4.0,3.0,9.15,1,0.84
141,118,2,4.5,3.5,9.36,1,0.9
142,115,5,4.0,3.5,9.44,1,0.92
143,120,4,4.5,4.0,9.92,1,0.97
144,112,2,3.0,3.5,8.96,1,0.8
145,113,2,2.0,2.5,8.64,1,0.81
146,105,3,2.0,2.5,8.48,0,0.75
147,114,3,3.0,3.0,9.11,1,0.83
148,116,4,4.0,3.5,9.8,1,0.96
149,106,2,3.5,3.0,8.26,1,0.79
150,114,4,4.0,4.0,9.43,1,0.93
151,116,5,5.0,5.0,9.28,1,0.94
152,112,5,5.0,5.0,9.06,1,0.86
153,105,3,3.0,4.0,8.75,0,0.79
154,108,3,3.0,3.5,8.89,0,0.8
155,109,3,3.0,3.0,8.69,0,0.77
156,105,3,2.0,2.5,8.34,0,0.7
157,104,2,2.0,2.5,8.26,0,0.65
158,106,2,2.0,2.5,8.14,0,0.61
159,100,1,1.5,2.0,7.9,0,0.52
160,103,1,1.5,2.0,7.86,0,0.57
161,99,1,1.5,3.0,7.46,0,0.53
162,109,3,3.0,3.0,8.5,0,0.67
163,105,3,3.5,3.0,8.56,0,0.68
164,111,4,4.5,4.0,9.01,1,0.81
165,110,5,4.5,4.0,8.97,0,0.78
166,102,3,3.5,5.0,8.33,0,0.65
167,102,3,2.0,3.0,8.27,0,0.64
168,97,2,2.0,4.0,7.8,1,0.64
169,99,2,2.5,3.0,7.98,0,0.65
170,101,2,2.5,3.5,8.04,1,0.68
171,117,5,4.0,4.5,9.07,1,0.89
172,110,4,4.0,5.0,9.13,1,0.86
173,113,4,4.0,4.5,9.23,1,0.89
174,111,4,4.0,4.0,8.97,1,0.87
175,111,4,4.5,3.5,8.87,1,0.85
176,119,4,4.5,4.5,9.16,1,0.9
177,110,3,3.5,3.5,9.04,0,0.82
178,108,3,2.5,3.0,8.12,0,0.72
179,102,3,3.0,3.0,8.27,0,0.73
180,104,3,3.5,3.0,8.16,0,0.71
181,107,2,2.5,2.5,8.42,0,0.71
182,100,2,3.0,3.5,7.88,0,0.68
183,110,3,4.0,4.0,8.8,0,0.75
184,106,2,2.5,4.0,8.32,0,0.72
185,113,4,4.5,4.5,9.11,1,0.89
186,107,3,3.5,3.0,8.68,1,0.84
187,118,5,4.5,3.5,9.44,1,0.93
188,115,5,4.5,3.5,9.36,1,0.93
189,112,5,5.0,5.0,9.08,1,0.88
190,111,5,4.5,4.0,9.16,1,0.9
191,110,5,4.0,5.0,8.98,1,0.87
192,114,5,4.5,4.0,8.94,1,0.86
193,118,5,4.5,5.0,9.53,1,0.94
194,109,3,3.5,3.0,8.76,0,0.77
195,107,2,3.0,3.5,8.52,1,0.78
196,105,2,3.0,2.5,8.26,0,0.73
197,106,2,3.5,2.5,8.33,0,0.73
198,104,3,4.5,4.5,8.43,0,0.7
199,107,3,4.0,4.5,8.69,0,0.72
200,103,3,2.5,3.0,8.54,1,0.73
201,110,2,3.5,3.0,8.46,1,0.72
202,120,5,4.5,4.5,9.91,1,0.97
203,120,5,4.0,5.0,9.87,1,0.97
204,105,3,3.5,4.0,8.54,0,0.69
205,99,2,2.5,3.0,7.65,0,0.57
206,99,2,3.5,3.0,7.89,0,0.63
207,102,3,3.5,4.0,8.02,1,0.66
208,106,2,3.0,3.0,8.16,0,0.64
209,104,3,3.5,4.0,8.12,1,0.68
210,108,4,4.5,4.0,9.06,1,0.79
211,110,4,5.0,4.0,9.14,1,0.82
212,120,4,5.0,5.0,9.66,1,0.95
213,119,5,5.0,4.5,9.78,1,0.96
214,117,4,4.5,5.0,9.42,1,0.94
215,116,5,5.0,4.5,9.36,1,0.93
216,112,4,4.5,4.5,9.26,1,0.91
217,109,4,4.0,4.0,9.13,1,0.85
218,110,4,3.0,3.5,8.97,1,0.84
219,104,3,3.5,3.5,8.42,0,0.74
220,103,3,4.0,4.0,8.75,0,0.76
221,110,3,3.5,4.0,8.56,0,0.75
222,113,4,4.5,4.0,8.79,0,0.76
223,109,2,3.0,4.0,8.45,0,0.71
224,105,2,3.0,2.0,8.23,0,0.67
225,99,2,2.5,2.5,8.03,0,0.61
226,110,2,3.5,4.0,8.45,0,0.63
227,110,2,3.5,3.0,8.53,0,0.64
228,112,3,4.0,3.5,8.67,0,0.71
229,111,4,3.0,3.0,9.01,1,0.82
230,104,3,4.0,4.5,8.65,0,0.73
231,106,3,3.5,2.5,8.33,1,0.74
232,107,2,2.5,3.5,8.27,0,0.69
233,100,2,2.5,3.5,8.07,0,0.64
234,113,5,5.0,4.0,9.31,1,0.91
235,111,5,4.5,4.0,9.23,1,0.88
236,112,4,4.0,4.5,9.17,1,0.85
237,114,5,4.5,5.0,9.19,1,0.86
238,104,3,2.0,3.5,8.37,0,0.7
239,100,1,1.5,2.0,7.89,0,0.59
240,101,1,2.5,3.0,7.68,0,0.6
241,103,2,2.5,2.0,8.15,0,0.65
242,115,3,3.5,3.0,8.76,1,0.7
243,114,3,3.5,3.0,9.04,1,0.76
244,107,2,2.5,4.0,8.56,0,0.63
245,110,4,4.0,2.5,9.02,1,0.81
246,105,3,3.0,3.5,8.73,0,0.72
247,104,2,2.5,3.5,8.48,0,0.71
248,110,3,3.5,4.0,8.87,1,0.8
249,111,3,3.5,4.0,8.83,1,0.77
250,104,3,3.0,2.5,8.57,1,0.74
251,99,2,2.5,3.0,9.0,0,0.7
252,100,2,2.5,3.5,8.54,1,0.71
253,115,4,4.5,4.5,9.68,1,0.93
254,114,4,4.0,5.0,9.12,0,0.85
255,110,4,4.0,4.5,8.37,0,0.79
256,99,3,4.0,4.0,8.56,0,0.76
257,100,3,4.0,5.0,8.64,1,0.78
258,102,4,5.0,5.0,8.76,1,0.77
259,119,4,5.0,4.5,9.34,1,0.9
260,108,5,5.0,3.5,9.13,1,0.87
261,104,3,3.5,4.0,8.09,0,0.71
262,103,2,2.5,4.0,8.36,1,0.7
263,111,3,2.5,1.5,8.79,1,0.7
264,110,2,3.0,2.5,8.76,1,0.75
265,102,3,2.5,2.5,8.68,0,0.71
266,105,2,2.0,2.5,8.45,0,0.72
267,107,3,3.0,3.5,8.17,1,0.73
268,113,4,4.5,5.0,9.14,0,0.83
269,108,4,4.5,5.0,8.34,0,0.77
270,105,2,2.5,3.0,8.22,1,0.72
271,96,2,1.5,2.0,7.86,0,0.54
272,95,1,1.5,1.5,7.64,0,0.49
273,99,1,1.0,1.5,8.01,1,0.52
274,100,1,2.0,2.5,7.95,0,0.58
275,110,3,3.5,3.0,8.96,1,0.78
276,113,5,5.0,4.5,9.45,1,0.89
277,101,2,2.5,3.0,8.62,0,0.7
278,103,2,3.0,3.5,8.49,0,0.66
279,102,2,3.0,4.0,8.73,0,0.67
280,102,3,4.5,4.0,8.64,1,0.68
281,110,3,4.0,4.5,9.11,1,0.8
282,106,3,4.0,3.5,8.79,1,0.81
283,111,3,2.5,3.0,8.9,1,0.8
284,112,4,5.0,4.5,9.66,1,0.94
285,116,5,4.0,4.0,9.26,1,0.93
286,118,5,4.5,4.0,9.19,1,0.92
287,114,5,5.0,4.5,9.08,1,0.89
288,104,4,5.0,5.0,9.02,0,0.82
289,109,3,4.0,3.5,9.0,0,0.79
290,105,2,2.5,3.0,7.65,0,0.58
291,102,2,1.5,2.0,7.87,0,0.56
292,99,2,1.0,2.0,7.97,0,0.56
293,98,1,3.5,3.0,8.18,1,0.64
294,101,2,2.5,2.0,8.32,1,0.61
295,100,2,3.0,2.5,8.57,0,0.68
296,107,3,3.5,3.5,8.67,0,0.76
297,120,3,4.0,4.5,9.11,0,0.86
298,114,3,4.5,4.5,9.24,1,0.9
299,112,3,3.0,3.5,8.65,0,0.71
300,106,2,2.5,2.5,8.0,0,0.62
301,108,2,2.5,3.0,8.76,0,0.66
302,105,2,3.0,3.0,8.45,1,0.65
303,107,3,3.5,3.5,8.55,1,0.73
304,106,2,2.5,2.0,8.43,0,0.62
305,109,3,3.5,3.5,8.8,1,0.74
306,110,3,4.0,3.5,9.1,1,0.79
307,112,4,4.0,4.0,9.0,1,0.8
308,108,3,3.5,3.0,8.53,0,0.69
309,110,4,3.5,3.0,8.6,0,0.7
310,104,3,3.0,3.5,8.74,1,0.76
311,108,4,4.5,4.0,9.18,1,0.84
312,107,4,4.5,4.5,9.0,1,0.78
313,100,3,3.5,3.0,8.04,0,0.67
314,105,2,3.0,4.0,8.13,0,0.66
315,104,2,2.5,3.0,8.07,0,0.65
316,101,2,1.5,2.0,7.86,0,0.54
317,99,1,1.0,2.5,8.01,0,0.58
318,111,3,2.5,2.0,8.8,1,0.79
319,113,4,3.5,3.0,8.69,1,0.8
320,106,3,4.0,3.5,8.5,1,0.75
321,104,3,4.0,4.0,8.44,1,0.73
322,107,2,2.5,4.0,8.27,0,0.72
323,102,2,2.0,2.5,8.18,0,0.62
324,104,3,3.0,2.5,8.33,0,0.67
325,116,3,3.5,4.0,9.14,1,0.81
326,100,3,2.0,2.0,8.02,0,0.63
327,101,2,2.5,2.0,7.86,0,0.69
328,112,4,4.0,3.5,8.77,1,0.8
329,96,2,2.5,1.5,7.89,0,0.43
330,113,3,3.5,3.0,8.66,1,0.8
331,105,2,3.0,2.0,8.12,1,0.73
332,106,3,3.5,2.5,8.21,1,0.75
333,108,3,3.0,3.5,8.54,1,0.71
334,107,4,4.5,4.0,8.65,1,0.73
335,111,4,4.0,4.5,9.11,1,0.83
336,110,3,3.0,2.5,8.79,0,0.72
337,118,5,5.0,5.0,9.47,1,0.94
338,108,5,4.0,4.0,8.74,1,0.81
339,107,5,3.5,4.0,8.66,1,0.81
340,107,3,3.0,3.0,8.46,1,0.75
341,110,3,3.5,3.5,8.76,1,0.79
342,106,3,3.0,3.0,8.24,0,0.58
343,103,2,2.5,3.5,8.13,0,0.59
344,96,2,1.5,2.0,7.34,0,0.47
345,98,1,1.5,2.0,7.43,0,0.49
346,97,2,1.5,2.0,7.64,0,0.47
347,94,1,1.0,1.0,7.34,0,0.42
348,99,1,2.0,2.0,7.25,0,0.57
349,101,3,2.5,3.0,8.04,0,0.62
350,107,3,3.0,3.5,8.27,1,0.74
351,110,4,3.5,4.0,8.67,1,0.73
352,100,2,3.0,3.5,8.06,1,0.64
353,102,3,3.5,2.5,8.17,0,0.63
354,98,2,2.5,3.0,7.67,0,0.59
355,106,2,2.0,3.5,8.12,0,0.73
356,109,3,3.5,4.0,8.77,1,0.79
357,104,2,3.5,3.5,7.89,1,0.68
358,105,2,2.5,2.0,7.64,0,0.7
359,107,2,2.0,1.5,8.44,0,0.81
360,110,3,4.0,5.0,8.64,1,0.85
361,116,4,4.0,3.5,9.54,1,0.93
362,115,5,4.5,5.0,9.23,1,0.91
363,103,2,2.5,3.0,8.36,0,0.69
364,102,3,3.5,4.0,8.9,1,0.77
365,114,4,4.5,3.0,9.17,1,0.86
366,104,3,3.5,4.5,8.34,1,0.74
367,98,1,1.0,2.5,7.46,0,0.57
368,92,1,2.0,2.0,7.88,0,0.51
369,98,1,2.0,3.0,8.03,1,0.67
370,103,2,2.5,2.5,8.24,0,0.72
371,110,3,3.5,3.0,9.22,1,0.89
372,119,4,4.5,4.0,9.62,1,0.95
373,109,3,3.0,3.0,8.54,1,0.79
374,105,2,2.0,2.5,7.65,0,0.39
375,101,2,2.0,2.5,7.66,0,0.38
376,96,2,2.5,2.0,7.43,0,0.34
377,100,1,1.5,2.0,7.56,0,0.47
378,98,1,2.0,2.5,7.65,0,0.56
379,99,1,2.5,3.0,8.43,1,0.71
380,104,3,3.5,4.0,8.84,1,0.78
381,105,3,3.0,3.5,8.67,1,0.73
382,110,4,4.5,4.0,9.15,1,0.82
383,100,3,3.0,3.5,8.26,0,0.62
384,113,4,5.0,5.0,9.74,1,0.96
385,117,5,5.0,5.0,9.82,1,0.96
386,101,2,2.5,3.5,7.96,0,0.46
387,105,2,2.0,3.5,8.1,0,0.53
388,97,2,1.5,2.0,7.8,0,0.49
389,108,3,3.5,4.0,8.44,1,0.76
390,102,2,2.0,2.5,8.24,0,0.64
391,106,3,2.0,3.0,8.65,0,0.71
392,112,4,4.0,3.5,9.12,1,0.84
393,104,2,3.0,3.0,8.76,0,0.77
394,111,4,4.5,4.0,9.23,1,0.89
395,110,3,3.5,3.5,9.04,1,0.82
396,107,3,3.0,3.5,9.11,1,0.84
397,116,4,5.0,4.5,9.45,1,0.91
398,103,3,3.5,4.0,8.78,0,0.67
399,117,4,5.0,4.0,9.66,1,0.95
400,100,2,3.5,3.0,8.22,0,0.63
401,105,2,3.0,3.0,8.34,0,0.66
402,109,3,3.5,3.0,8.94,1,0.78
403,116,4,4.0,3.5,9.23,1,0.91
404,101,3,2.0,2.5,7.64,1,0.62
405,99,3,2.5,3.0,7.45,0,0.52
406,103,4,3.0,2.5,8.02,1,0.61
407,100,3,2.5,4.0,7.95,1,0.58
408,101,3,2.0,4.0,7.67,1,0.57
409,98,1,2.0,2.5,8.02,0,0.61
410,96,1,3.0,4.0,7.56,0,0.54
411,94,2,2.5,1.5,8.13,0,0.56
412,102,4,2.5,2.0,7.88,1,0.59
413,101,3,3.0,2.0,7.94,1,0.49
414,110,4,3.5,4.0,8.35,1,0.72
415,106,4,4.0,4.5,8.75,1,0.76
416,104,3,4.0,2.5,8.1,0,0.65
417,103,3,3.5,2.0,7.68,0,0.52
418,111,2,2.5,4.0,8.03,0,0.6
419,102,2,2.0,3.5,7.98,1,0.58
420,100,3,2.0,3.0,7.42,0,0.42
421,112,3,3.0,4.5,8.95,1,0.77
422,112,4,3.5,2.5,9.02,1,0.73
423,119,5,4.5,5.0,9.54,1,0.94
424,114,5,4.0,5.0,9.46,1,0.91
425,111,5,4.0,5.0,9.86,1,0.92
426,106,3,3.0,5.0,8.57,0,0.71
427,101,3,3.5,5.0,8.65,1,0.71
428,103,2,2.0,4.5,8.74,0,0.69
429,115,5,5.0,4.5,9.06,1,0.95
430,104,3,4.0,3.5,8.13,1,0.74
431,112,2,3.5,3.5,8.78,1,0.73
432,112,4,4.5,4.0,9.22,1,0.86
433,111,4,4.0,5.0,8.54,0,0.71
434,103,3,3.5,3.0,8.21,0,0.64
435,105,2,2.5,4.0,7.68,0,0.55
436,110,1,1.5,4.0,7.23,1,0.58
437,106,1,1.5,3.5,7.65,1,0.61
438,110,1,2.5,3.5,8.54,1,0.67
439,105,2,1.5,3.0,8.46,0,0.66
440,104,2,2.5,1.5,7.79,0,0.53
441,112,1,1.5,3.0,8.66,1,0.79
442,116,4,4.5,4.5,9.44,1,0.92
443,114,5,4.5,4.5,9.16,1,0.87
444,113,5,4.0,5.0,9.25,1,0.92
445,116,5,4.5,5.0,9.08,1,0.91
446,118,4,5.0,5.0,9.67,1,0.93
447,108,3,3.5,5.0,8.97,1,0.84
448,109,2,2.5,4.0,9.02,0,0.8
449,101,3,3.5,4.5,9.13,0,0.79
450,112,4,3.0,4.5,8.86,1,0.82
451,113,4,4.5,4.5,9.25,1,0.89
452,116,4,5.0,3.5,9.6,1,0.93
453,103,3,2.5,4.0,8.76,1,0.73
454,105,2,3.0,3.5,8.01,0,0.71
455,102,2,1.5,2.5,7.64,0,0.59
456,100,2,2.0,2.0,7.88,0,0.51
457,99,1,2.0,1.5,7.57,0,0.37
458,100,1,3.0,3.0,8.53,1,0.69
459,113,4,4.0,3.5,9.36,1,0.89
460,105,4,4.0,4.5,8.66,1,0.77
461,102,3,2.5,2.0,8.13,1,0.68
462,105,4,3.0,3.0,7.94,0,0.62
463,107,3,3.5,3.0,7.86,0,0.57
464,97,2,2.0,3.0,7.21,0,0.45
465,96,4,3.0,4.5,8.26,0,0.54
466,99,4,3.5,4.5,8.73,1,0.71
467,101,5,3.5,5.0,8.78,1,0.78
468,110,4,4.0,5.0,8.88,1,0.81
469,114,4,4.0,3.5,9.16,1,0.86
470,110,5,4.0,4.0,9.27,1,0.87
471,103,3,2.0,4.0,8.09,0,0.64
472,116,4,4.0,4.5,9.48,1,0.9
473,102,2,4.0,3.5,8.15,0,0.67
474,105,4,3.0,2.5,7.95,1,0.67
475,101,3,3.5,2.5,7.88,0,0.59
476,104,3,2.5,2.0,8.12,0,0.62
477,105,4,3.5,2.0,8.18,0,0.65
478,103,3,4.0,4.5,8.49,1,0.71
479,110,4,4.5,4.0,8.96,1,0.79
480,102,3,3.5,4.0,9.01,1,0.8
481,107,4,3.0,2.5,8.48,1,0.78
482,113,4,4.0,2.5,8.77,1,0.83
483,103,5,5.0,3.0,7.92,0,0.71
484,106,3,3.5,3.0,7.89,1,0.73
485,101,2,2.5,3.5,8.34,1,0.7
486,102,3,2.5,2.5,8.37,0,0.68
487,115,4,3.5,4.0,9.14,0,0.79
488,112,3,3.0,4.0,8.62,1,0.76
489,110,3,4.0,4.5,8.5,0,0.65
490,105,2,2.5,4.5,8.12,1,0.67
491,99,4,3.0,3.5,7.81,0,0.54
492,101,4,2.5,4.5,7.69,1,0.53
493,95,2,3.0,1.5,8.22,1,0.62
494,99,3,2.5,2.0,8.45,1,0.68
495,108,5,4.5,4.0,9.02,1,0.87
496,117,5,5.0,5.0,9.87,1,0.96
497,120,5,4.5,5.0,9.56,1,0.93
498,103,4,4.0,5.0,8.43,0,0.73
499,113,4,4.5,4.5,9.04,0,0.84
